rating,movie,year,country,rating_ball,director,screenwriter,actors
34,Джентльмены удачи ,1971,СССР,8.526, Александр Серый, Георгий Данелия  Виктория Токарева,Евгений Леонов Георгий Вицин Раднэр Муратов Савелий Крамаров Наталья Фатеева
35,Пираты Карибского моря: Проклятие Черной жемчужины ,2003,США,8.334, Гор Вербински, Тед Эллиот  Терри Россио  Стюарт Битти ...,Джонни Депп Джеффри Раш Орландо Блум Кира Найтли Джек Девенпорт
36,Остров проклятых ,2009,США,8.493, Мартин Скорсезе, Лаэта Калогридис  Деннис Лихейн,Леонардо ДиКаприо Марк Руффало Бен Кингсли Макс фон Сюдов Мишель Уильямс
37,Темный рыцарь ,2008,США,8.499, Кристофер Нолан, Кристофер Нолан  Джонатан Нолан  Дэвид С. Гойер ...,Кристиан Бэйл Хит Леджер Аарон Экхарт Мэгги Джилленхол Гари Олдман
38,Пролетая над гнездом кукушки ,1975,США,8.541, Милош Форман, Лоренс Хаубен  Бо Голдмэн  Кен Кизи ...,Джек Николсон Луиза Флетчер Уилл Сэмпсон Брэд Дуриф Уильям Редфилд
39,Титаник ,1997,США,8.365, Джеймс Кэмерон, Джеймс Кэмерон,Леонардо ДиКаприо Кейт Уинслет Билли Зейн Кэти Бейтс Фрэнсис Фишер
40,12 разгневанных мужчин ,1956,США,8.510, Сидни Люмет, Реджинальд Роуз,Генри Фонда Мартин Болсам Ли Дж. Кобб Джозеф Суини Эд Бегли
41,Запах женщины ,1992,США,8.449, Мартин Брест, Бо Голдмэн  Руджеро Маккари  Дино Ризи ...,Аль Пачино Крис О’Доннелл Джеймс Ребхорн Габриель Анвар Филип Сеймур Хоффман
42,Пробуждение ,1990,США,8.438, Пенни Маршалл, Стивен Зеллиан  Оливер Сакс,Роберт Де Ниро Робин Уильямс Джон Хёрд Джули Кавнер Пенелопа Энн Миллер
43,В джазе только девушки ,1959,США,8.460, Билли Уайлдер, Билли Уайлдер  И.А.Л. Даймонд  Роберт Тёрен ...,Мэрилин Монро Тони Кертис Джек Леммон Джордж Рафт Пэт О’Брайен
44,Хатико: Самый верный друг ,2008,Великобритания,8.339, Лассе Халльстрём, Стефен П. Линдси  Канэто Синдо,Ричард Гир Джоан Аллен Кэри-Хироюки Тагава Сара Ремер Джейсон Александер
45,Огни большого города ,1931,США,8.503, Чарльз Чаплин, Чарльз Чаплин  Гарри Карр  Гарри Крокер,Вирджиния Черрилл Гарри Майерс Аль Эрнест Гарсиа Хэнк Манн Чарльз Чаплин
46,Унесённые призраками ,2001,Япония,8.434, Хаяо Миядзаки, Хаяо Миядзаки,Руми Хиираги Мию Ирино Мари Нацуки Такаси Наито Ясуко Савагути
